785432,Acc1,Acc2,1000.0,Santiago,2024-07-05,12:30:20
234567,Acc3,Acc4,2000.0,Valparaíso,2024-07-06,22:20:30
891234,Acc5,Acc6,1500.0,Concepción,2024-07-07,14:45:00
456789,Acc7,Acc8,2500.0,Antofagasta,2024-07-08,08:10:45
123456,Acc9,Acc10,3000.0,Valdivia,2024-07-09,18:00:15
564321,Acc2,Acc3,500.0,Puerto Montt,2024-07-10,09:30:00
876543,Acc4,Acc5,1200.0,Temuco,2024-07-11,16:20:30
345678,Acc6,Acc7,1800.0,Iquique,2024-07-12,11:55:00
987654,Acc8,Acc9,2200.0,Rancagua,2024-07-13,20:15:45
210987,Acc10,Acc1,2700.0,Coquimbo,2024-07-14,13:00:00
789012,Acc1,Acc3,1300.0,Punta Arenas,2024-07-15,09:45:30
543210,Acc5,Acc7,1400.0,Arica,2024-07-16,17:30:00
321098,Acc4,Acc10,2300.0,Talca,2024-07-17,14:20:00
654321,Acc7,Acc9,2100.0,La Serena,2024-07-18,10:00:00
890123,Acc1,Acc8,1400.0,Coyhaique,2024-07-19,15:45:30
567890,Acc2,Acc4,2700.0,Copiapo,2024-07-20,19:00:00
